"Product ID";"Hình ảnh";"Tên";"Có hiệu lực";"Danh mục";"Nhà cung cấp";"Giá (chưa thuế.)";"Giá (bao gồm thuế)";"Số lượng";"Trạng thái";"Mô tả";"Mô tả chi tiết";"Số lượng";"Số lượng tối thiểu";"Vị trí";""
"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/g/r/grasmere_v1.jp,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/k/i/kielder_r1.jpg";"Grasmere Rigid Core Luxury Vinyl Tile";"1";"Vinyl";"SPC";"200000";"220000";"300";"0";"These luxury vinyl tiles, known as SPC (Stone Polymer Composite) are comprised of a rigid core for added durability. 

Mimicking an old oak floor, the dark stained floor board effect works well in heritage properties or those looking to recreate the glamour of the Georgian era in a modern property.

Easy installation click system, no glue required
Hygienic finish, easy to clean and maintain
Install directly over most existing hard surface subfloors
Can be used in conjunction with water radiant systems providing it remains below 24°C
100% waterproof
Integral underlay
Wear layer of 0.3mm
Scuff and stain resistant
Rigid core for easy installation
Suitable for all rooms excluding conservatories
";"Coverage Per Box:   2.2m²
Tiles Per Box:           10
Product Colour:        Grey
Tile Surface:              Floor
Tile Size:                    123cm x 17.9cm Plank
Tile Depth (cm):        0.6
Weight (kg):               19.5
Surface:                      Interior Floor";"200";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/g/r/grasmere_v1.jp";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/k/i/kielder_r1.jpg"
"2";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/a/s/ashdown_v1.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/a/s/ashdown_r1.jpg";"Ashdown Rigid Core Luxury Vinyl Tile";"1";"Vinyl";"SPC";"190000";"209000";"1200";"0";"These luxury vinyl tiles, known as SPC (Stone Polymer Composite) are comprised of a rigid core for added durability. 

Mimicking an old oak floor, the dark stained floor board effect works well in heritage properties or those looking to recreate the glamour of the Georgian era in a modern property.

Easy installation click system, no glue required
Hygienic finish, easy to clean and maintain
Install directly over most existing hard surface subfloors
Can be used in conjunction with water radiant systems providing it remains below 24°C
100% waterproof
Integral underlay
Wear layer of 0.3mm
Scuff and stain resistant
Rigid core for easy installation
Suitable for all rooms excluding conservatories
";"Coverage Per Box:   2.2m²
Tiles Per Box:           10
Product Colour:        Grey
Tile Surface:              Floor
Tile Size:                    123cm x 17.9cm Plank
Tile Depth (cm):        0.6
Weight (kg):               19.5
Surface:                      Interior Floor";"200";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/a/s/ashdown_v1.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/a/s/ashdown_r1.jpg"
"3";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/u/n/untitled-1_1_1.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/k/i/kielder_r1.jpg";"Kielder Rigid Core Luxury Vinyl Tile";"1";"Vinyl";"SPC";"250000";"275000";"1200";"0";"These luxury vinyl tiles, known as SPC (Stone Polymer Composite) are comprised of a rigid core for added durability. 

Mimicking an old oak floor, the dark stained floor board effect works well in heritage properties or those looking to recreate the glamour of the Georgian era in a modern property.

Easy installation click system, no glue required
Hygienic finish, easy to clean and maintain
Install directly over most existing hard surface subfloors
Can be used in conjunction with water radiant systems providing it remains below 24°C
100% waterproof
Integral underlay
Wear layer of 0.3mm
Scuff and stain resistant
Rigid core for easy installation
Suitable for all rooms excluding conservatories
";"Coverage Per Box:   2.2m²
Tiles Per Box:           10
Product Colour:        Brown
Tile Surface:              Floor
Tile Size:                    123cm x 17.9cm Plank
Tile Depth (cm):        0.6
Weight (kg):               19.5
Surface:                      Interior Floor";"200";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/u/n/untitled-1_1_1.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/k/i/kielder_r1.jpg"
"4";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/p/a/parson_v1.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/p/a/parson_r1.jpg";"Parson Rigid Core Luxury Vinyl Tile";"1";"Vinyl";"SPC";"250000";"275000";"1200";"0";"These luxury vinyl tiles, known as SPC (Stone Polymer Composite) are comprised of a rigid core for added durability. 

Mimicking an old oak floor, the dark stained floor board effect works well in heritage properties or those looking to recreate the glamour of the Georgian era in a modern property.

Easy installation click system, no glue required
Hygienic finish, easy to clean and maintain
Install directly over most existing hard surface subfloors
Can be used in conjunction with water radiant systems providing it remains below 24°C
100% waterproof
Integral underlay
Wear layer of 0.3mm
Scuff and stain resistant
Rigid core for easy installation
Suitable for all rooms excluding conservatories
";"Coverage Per Box:   2.2m²
Tiles Per Box:           10
Product Colour:        Cream
Tile Surface:              Floor
Tile Size:                    123cm x 17.9cm Plank
Tile Depth (cm):        0.6
Weight (kg):               19.5
Surface:                      Interior Floor";"200";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/p/a/parson_v1.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/p/a/parson_r1.jpg"
"5";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/632147_henley-ice-tile_3.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/h/e/henley_ice.png";"Henley™ Ice Tile";"1";"Ceramic";"Henley";"180000";"198000";"100";"0";"Inspired by Victorian encaustic design. It's made from ceramic with a matt finish. The pre scored grout lines are made to look like grout joints, creating the appearance of four tiles rather than one large one. Occasionally, a very faint micro line may appear on the surface: this is simply a characteristic of the digital printing technology used and won't compromise the final effect. 

Embodying all things pattern, the Statements™ range brings together different design eras into a format reminiscent of traditional encaustic tiles. The pre-scored lines make these tiles easier to lay but also give the look of four smaller tiles once grouted.";"Product Colour:          Blue, Patterned, Multicoloured
Tile Surface:                Floor, Wall
Tile Size:                      45cm x 45cm Square
Tile Depth (cm):          1.05
Weight (kg):                 4";"250";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/632147_henley-ice-tile_3.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/h/e/henley_ice.png"
"6";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/811490_henley-warm-tile_4.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/811490_henley-warm-tile_livingroom_floor_3.jpg";"Henley™ Warm Tile";"1";"Ceramic";"Henley";"180000";"198000";"300";"0";"Inspired by Victorian encaustic design. It's made from ceramic with a matt finish. The pre scored grout lines are made to look like grout joints, creating the appearance of four tiles rather than one large one. Occasionally, a very faint micro line may appear on the surface: this is simply a characteristic of the digital printing technology used and won't compromise the final effect. 

Embodying all things pattern, the Statements™ range brings together different design eras into a format reminiscent of traditional encaustic tiles. The pre-scored lines make these tiles easier to lay but also give the look of four smaller tiles once grouted.";"Product Colour:          Orange, Patterned, Multicoloured
Tile Surface:                Floor, Wall
Tile Size:                      45cm x 45cm Square
Tile Depth (cm):          0.9
Weight (kg):                 3.996";"250";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/811490_henley-warm-tile_4.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/811490_henley-warm-tile_livingroom_floor_3.jpg"
"7";"https://thumbor-gc.tomandco.uk/unsafe/513x612/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633034_brixton-tile_6.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633034_brixton-tile_bathroom_floor_4.jpg";"Brixton Tile";"1";"Porcelain";"Brixton";"270000";"297000";"300";"0";"This dramatic monochrome tile creates instant impact with bold geometric diamonds. Soften the graphic lines with textured furnishings, painted wood and accessories.

Embodying all things pattern, the Statements™ range brings together different design eras into a format reminiscent of traditional encaustic tiles. The pre-scored lines make these tiles easier to lay but also give the look of four smaller tiles once grouted.";"Product Colour:          Black, Multicoloured, White, Patterned
Tile Surface:                Floor, Wall
Tile Size:                      45cm x 45cm Square
Tile Depth (cm):          1.05
Weight (kg):                 4";"300";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x612/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633034_brixton-tile_6.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633034_brixton-tile_bathroom_floor_4.jpg"
"8";"https://cdn.webshopapp.com/shops/285805/files/307499141/450x450x2/luxury-tiles-calacatta-matt-white-marble-effect-po.jpg,https://cdn.webshopapp.com/shops/285805/files/307499144/luxury-tiles-calacatta-matt-white-marble-effect-po.jpg";"Calacatta Matt White Marble Effect Porcelain Tile";"1";"Porcelain";"Matt";"169000";"185900";"300";"0";"Luxury tiles offers an inspiration from the famous marbles found in the Carrara region of Tuscany, Italy, this Matt version of the Calacatta porcelain tile has an alternative to the high gloss variety. The smooth silk matt surface adds a softness to the finish but does not detract from that classical timeless appearance. Ideal for large and smaller floors alike, the lighter shades create areas of roomy spaciousness ideal for both contemporary and classical interiors. Ideal for use in any room of the home, this hard wearing porcelain tile is fantastic in kitchens, hallways, bathrooms and conservatories. A very popular design to use when tiling entire floors in the home as the subtle tones offer of interior design options. Suitable with underfloor heating.";"Height:                                    800
Width:                                     800
Tiles Per Box:                                2
Colour:                                   White
Thickness (mm):                         11.0
Tiles per square meter        1.56";"300";"1";"https://cdn.webshopapp.com/shops/285805/files/307499141/450x450x2/luxury-tiles-calacatta-matt-white-marble-effect-po.jpg";"https://cdn.webshopapp.com/shops/285805/files/307499144/luxury-tiles-calacatta-matt-white-marble-effect-po.jpg"
"9";"https://thumbor-gc.tomandco.uk/unsafe/513x612/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633196_hartley-old-red-tile_11.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633196_hartley-old-red-tile_hallway_floor_3.jpg";"Hartley™ Old Red Tile";"1";"Porcelain";"Hartley";"185000";"203500";"600";"0";"Resembling brickwork from Tribeca, Manhattan, the Hartley™ tile lends your space a stylish industrial look that's infused with a sense of luxurious modern living. The name is inspired by the former Hartley jam factory in South East London, now an upscale residential complex. A versatile choice, these matt rectangular porcelain tiles can be used inside and outside, on floors as well as walls.";"Product Colour:          Red
Tile Surface:                Floor, Wall
Tile Size:                      25cm x 6cm Rectangular
Tile Depth (cm):          1
Weight (kg):                 0.314";"300";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x612/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633196_hartley-old-red-tile_11.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633196_hartley-old-red-tile_hallway_floor_3.jpg"
"10";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633853_tekno-bone-tile_6.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633853_tekno-bone-tile_kitchen_floor_3.jpg";"Tekno™ Bone Tile";"1";"Porcelain";"Tekno";"180000";"198000";"600";"0";"In a muted shade, the concrete look of the rectangular Tekno™ bone tile evokes the aesthetic of NYC skyscrapers. The city's skyline has continued to rise since the 1850s, when mass manufactured steel was combined with concrete to create New York's urban architecture. With their industrial appearance and restful light cream colour, these rectangular matt tiles will add a subtle take on a metropolitan look into your home. The range includes tonal variations, so no two pieces are alike. Please note that these tiles shouldn't be placed in wet rooms.";"Product Colour:          Cream
Tile Surface:                Floor, Wall
Tile Size:                      60cm x 30cm Rectangular
Tile Depth (cm):          0.8
Weight (kg):                 3.42";"300";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633853_tekno-bone-tile_6.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633853_tekno-bone-tile_kitchen_floor_3.jpg"
